username, created_at, lng, lat, text
geraldmoore_jr, Thu Jan 28 07:22:10 +0000 2021, -82.985772, 39.994684, Hey @DavidFieldETM I need your help 
MrNaassir, Thu Jan 28 07:22:11 +0000 2021, -73.831187, 40.670879, @_saramunir @Nimrabu55782621 @Manzoor01162219 @AbrarGulshan @mohsinmalvi19 @AsimIqb19777512 @endahsang @neelofer23… https://t.co/fw9gi86Ul3 
aarongreenberg, Thu Jan 28 07:22:11 +0000 2021, -122.149768, 47.597856, @MajorRespect @joinClubhouse @tomwarren @geoffkeighley @ijustine @KevinKenson @Kahjahkins @Tru1P @jennaezarik… https://t.co/Zcm6jbPjO6 
estarLA, Thu Jan 28 07:22:11 +0000 2021, -118.411907, 34.020789, @imontheradio i caught the cabbage but can't believe i missed the dongpo pork what gives? that place is so huge, s… https://t.co/3Sdcs97peU 
M_S_Krafts, Thu Jan 28 07:22:12 +0000 2021, -82.671634, 28.376360, @lycheethings 🥺♥️ 
Joel_Fritsma, Thu Jan 28 07:22:12 +0000 2021, -84.772176, 43.593853, We live in a society... #dogecoin https://t.co/y6hE5lWMJb 
Heshbr0wn, Thu Jan 28 07:22:12 +0000 2021, -119.782465, 36.786042, I been so bored lately I unmuted everyone off all my socials 
PoeticSoultry1, Thu Jan 28 07:22:12 +0000 2021, -76.620482, 39.284713, @gardengirl125 Gorgeous 
LaBrujaSucia, Thu Jan 28 07:22:12 +0000 2021, -100.076888, 31.168893, Todos los hombres son pinches perros. 
ashleyafriyiee, Thu Jan 28 07:22:12 +0000 2021, -82.985772, 39.994684, 222 💙 
Joc_ThaDon, Thu Jan 28 07:22:12 +0000 2021, -81.734812, 41.384923, @9ine2ew @Markanagelo why they tryna stop my niggas grind lol 
claytonsims23, Thu Jan 28 07:22:13 +0000 2021, -98.540651, 29.417501, Might just ghost everyone and call it a year 
daddybiinaa__, Thu Jan 28 07:22:14 +0000 2021, -89.017567, 42.257146, ‼️ 
thatdolltee, Thu Jan 28 07:22:14 +0000 2021, -83.959527, 30.862694, Aye shit can go real left or real right. Better act like ya got some sense round this bitch 
Actor_Tyler_G, Thu Jan 28 07:22:14 +0000 2021, -118.739000, 34.271100, Just posted a photo @ Simi Valley, California https://t.co/qKPcpSSnR3 
melissahilldees, Thu Jan 28 07:22:14 +0000 2021, -87.010551, 34.580925, Two hours later... https://t.co/p5JulCIIT2 
fucckyassy, Thu Jan 28 07:22:15 +0000 2021, -79.272570, 43.629311, Note to self when mixing: trust your ears✨ 
davek0m, Thu Jan 28 07:22:15 +0000 2021, -118.411907, 34.020789, Ooooohhh....I get it now 😁 
Celestee_gee, Thu Jan 28 07:22:16 +0000 2021, -119.165389, 34.181956, @whoisgrlplastic Chills as soon as I zoomed in 😍 love this 
victoriafrench, Thu Jan 28 07:22:16 +0000 2021, -98.540651, 29.417501, @ste_grider you’re react native course is being pirated on the react native facebook group. how do you want this re… https://t.co/yihhBaNJYe 
Mex7can, Thu Jan 28 07:22:16 +0000 2021, -118.411907, 34.020789, el macho prieto 
BeyankaCelest, Thu Jan 28 07:22:16 +0000 2021, -73.948775, 40.655138, 2:22 
King_Lok3, Thu Jan 28 07:22:17 +0000 2021, -76.593943, 24.074967, I don’t want a valentine, I just want Valentino. 
ox_cecii, Thu Jan 28 07:22:17 +0000 2021, -121.641268, 36.689149, Im up like i don’t have to be at work @5 am 😭😭 
siobhanisblyss, Thu Jan 28 07:22:17 +0000 2021, -123.139654, 49.245719, #fullmoon #wolfmoon #walkitout #walkitoff #followyourblyss @ Shaughnessy https://t.co/gHMYqlC7lI 
BrandonByrum4, Thu Jan 28 07:22:17 +0000 2021, -79.420865, 38.003376, But not dangerous she easy to kill and weak and easy to find she is with uncle Manny Amanda george bruce George gra… https://t.co/jWbCYqwCHc 
WildcatEBurch, Thu Jan 28 07:22:17 +0000 2021, -120.882482, 47.273022, @HillaryClinton What, you? 🤔 Oh, someone else... You are not someone I support or respect, so I don’t know who is o… https://t.co/sFbTBeJJr3 
AvaAubertin, Thu Jan 28 07:22:17 +0000 2021, -71.444080, 42.971199, She gave capitol tours on January 05 to terrorists and she needs to receive expulsion from congress as a punitive m… https://t.co/5dp3K9bHpd 
Phinmeister, Thu Jan 28 07:22:17 +0000 2021, -120.825636, 38.692098, @GailSimone School’s more like school’s for losers amirite 
_TaBoris, Thu Jan 28 07:22:17 +0000 2021, -89.127042, 32.776623, Happy birthday Jermaine Cole https://t.co/jyDyD3nlkb 
HayleyHae, Thu Jan 28 07:22:18 +0000 2021, -83.173867, 32.678207, 2:22 
comicbookaddt, Thu Jan 28 07:22:18 +0000 2021, -72.524305, 41.776922, #dccomics Did you like DC One Million ? @DCComics https://t.co/DNQOOfPhnB 
TGADarrenReese, Thu Jan 28 07:22:18 +0000 2021, -86.851177, 35.935017, $SNDL https://t.co/l5ZlvrkRGi 
TheBenFalck, Thu Jan 28 07:22:18 +0000 2021, -157.799589, 21.319944, WEST HAM TOP FOUR BABY #COYI 
MommaLexie, Thu Jan 28 07:22:19 +0000 2021, -118.411907, 34.020789, @RinzyRoo420 Thanks 🥰 
_britneytorres, Thu Jan 28 07:22:19 +0000 2021, -122.085776, 37.641271, on the first day of senior year i was doing my makeup in the quad and this teacher told me “you should be embarrass… https://t.co/syXMqPWSG1 
insidehismind, Thu Jan 28 07:22:19 +0000 2021, -97.285913, 32.779967, @D_1andOnly_ song been fire 
jashandhaliwal5, Thu Jan 28 07:22:19 +0000 2021, -122.218075, 47.392311, @RUPESHV55254337 @sambitswaraj Aja dekhle ake fer, ghar baithe hi fatt gyi? Abhi to sab humne peacful kiya hai, baa… https://t.co/XKQPlFsoWe 
IchiroReport, Thu Jan 28 07:22:20 +0000 2021, -118.631113, 34.478413, アメリカでは30秒に1人が新型コロナウィルスで亡くなっている。 
Capsandredskins, Thu Jan 28 07:22:20 +0000 2021, -77.590086, 38.204866, Wall Street will pay off anyone to get what they want 
mortdubz, Thu Jan 28 07:22:20 +0000 2021, -78.883980, 43.075570, @uncleimanmusic LOL 
KevinClouds, Thu Jan 28 07:22:21 +0000 2021, -83.725610, 42.994459, 🤝 
azucar_amor, Thu Jan 28 07:22:21 +0000 2021, -97.754724, 30.323346, I was really dumb to think but that's ok too 
thepeterfabian, Thu Jan 28 07:22:21 +0000 2021, -98.245675, 26.240690, Almost felt bad for that finance guy that was getting all lippy with me not too long ago. Keyword being, “almost”. 
JEllisP, Thu Jan 28 07:22:22 +0000 2021, -119.306608, 37.269176, @NoosferaMedia NiN's Closer in a nutshell 
NematPejman, Thu Jan 28 07:22:22 +0000 2021, -104.922093, 39.713563, @Noorahmedkk الأجمل مرورك الراقي و المميز 
BookofHondo, Thu Jan 28 07:22:23 +0000 2021, -117.104989, 32.810012, Okay @swatcbs we can fix this Erika thing. Let’s run the original Dallas footage when someone shot Jr. dead. Then l… https://t.co/OBkTo98kNh 
yolandateofilo, Thu Jan 28 07:22:23 +0000 2021, -117.195485, 34.492627, Got that night work in with my all 4 of my sisters and my babies 💪🏽😅👌🏽🙏🏽 can’t stop, won’t stop!!! #WildOutWednesday 
Pharaoh_ZAYY_, Thu Jan 28 07:22:23 +0000 2021, -80.926628, 33.631140, 222 
ricobagante, Thu Jan 28 07:22:23 +0000 2021, -84.917307, 32.482304, ?????? 
M3LOLMR, Thu Jan 28 07:22:24 +0000 2021, -78.871284, 38.438306, Ya está arriba búscalo 
cheyymarie2012, Thu Jan 28 07:22:24 +0000 2021, -84.557899, 42.712049, this next stage in my life requires me to pray more and say less 🙌🏼🤭 
stumpf_john, Thu Jan 28 07:22:24 +0000 2021, -119.037648, 35.429265, @high_imbrandy https://t.co/vq9e7p7Y4y 
EvanTee_, Thu Jan 28 07:22:24 +0000 2021, -74.153947, 40.572376, They don’t want us poor ppl making money I swear 
Only1MsKay, Thu Jan 28 07:22:24 +0000 2021, -88.015080, 43.103030, • UNEXPECTED @trappnazz_babyj  2/?!/21 STAY TUNED YOULL SEE. 🌏#powerballteam #streetstyle #TheDifference… https://t.co/BDgEwny9RJ 
shamonicaaa, Thu Jan 28 07:22:24 +0000 2021, -96.761753, 32.819858, Mf be smackin 😂 
